,Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 24
429,4,8,1,1,1,877,214,"[869,209,883,222]",-352.87,-195.05,,,,,0.0620809641008,190.826086957,3494,0.09581307825,2883.0,115,2983.95651758,1.03011758678,1,5,
430,4,8,39,1,1,791,1593,"[787,1585,798,1601]",-365.35,-398.9,,,,,0.0371168,32.8588,983,0.0711432,852.422,121,725.77,1.21978,2,1,
431,4,8,39,1,2,794,1618,"[790,1615,799,1624]",-365.02,-402.66,,,,,0.0292521,24.0092,917,0.0701615,796.76,52,725.77,1.13089,2,2,
432,4,8,40,1,1,791,1608,"[784,1603,797,1614]",-365.57,-401.14,,,,,0.0735335,71.6732,1121,0.107692,903.028,107,728.242,1.33843,2,1,
433,4,8,40,1,2,788,1629,"[786,1627,793,1635]",-365.75,-404.38,,,,,0.027857,24.4286,991,0.0751288,852.5,42,728.242,1.20417,2,2,
434,4,8,40,1,3,786,1634,"[782,1628,792,1640]",-366.23,-404.97,,,,,0.0336576,28.3667,956,0.0799616,814.433,70,728.242,1.15731,2,3,
435,4,8,41,1,1,786,1642,"[781,1638,792,1646]",-366.14,-406.09,,,,,0.0508500795212,42.4153225806,972,0.102222222222,791.709677419,80,727.424494821,1.14668258484,1,1,
436,4,8,42,1,1,787,1653,"[780,1650,791,1657]",-366.34,-407.77,,,,,0.0267075448859,21.0584045584,895,0.0767415496379,767.423076923,54,726.357378223,1.08552828831,1,1,
437,4,8,52,1,1,2093,895,"[2088,891,2099,900]",-173.03,-295.73,,,,,0.0316373733359,25.0771689498,919,0.0897879320908,767.566666667,73,787.339125856,1.00673751575,2,1,
438,4,8,53,1,1,2084,895,"[2080,892,2090,902]",-174.25,-295.89,,,,,0.0370515246343,29.0928571429,889,0.080780669952,756.107142857,70,798.74392965,0.983043464686,1,1,
439,4,8,54,1,1,2078,906,"[2072,900,2084,912]",-175.2,-297.32,,,,,0.0645708012284,53.7163299663,970,0.109724388976,778.181818182,108,796.947583032,1.04385553813,2,2,
440,4,8,55,1,1,2077,915,"[2073,909,2082,920]",-175.43,-298.59,,,,,0.0355723167873,29.4337349398,907,0.0639296187683,798.0,83,789.086473622,1.0485970329,2,3,
441,4,8,42,3,1,29,61,"[26,57,33,65]",490.54,-172.42,,,,,0.0267933184978,10.4304812834,442,0.0769145578382,378.863636364,51,358.716025137,1.08524317389,1,1,
442,4,8,51,3,1,31,38,"[29,35,35,42]",490.89,-169.0,,,,,0.0319654427646,12.3333333333,435,0.0760667903525,373.5,30,352.822593477,1.09356186499,1,1,
443,4,8,0,4,1,1562,1752,"[1558,1746,1568,1761]",717.2,-1068.23,,,,,0.0510355,137.182,2931,0.0693599,2550.78,116,2519.68,1.06679,1,2,
444,4,8,0,4,2,1587,1774,"[1581,1768,1593,1780]",720.9,-1071.44,,,,,0.0567907,163.355,3384,0.110038,2713.09,115,2519.68,1.14159,1,5,
445,4,8,0,4,3,1070,35,"[1065,32,1074,46]",644.42,-814.84,,,,,0.0397819,40.9091,1157,0.0790775,987.424,90,917.637,1.12063,2,11,
446,4,8,1,4,1,644,871,"[638,866,650,877]",581.47,-937.94,,,,,0.0286504916224,104.121832884,3965,0.0580265926626,3530.08571429,106,3821.20143885,0.951064110419,2,17,
447,4,8,2,4,1,1082,38,"[1079,34,1087,42]",646.21,-814.83,,,,,0.0259417,20.8327,875,0.0559807,782.227,50,819.001,0.980537,1,2,
448,4,8,2,4,2,722,258,"[716,245,726,265]",592.73,-846.85,,,,,0.0291403,34.0938,1374,0.0948681,1135.89,134,1217.17,0.961233,2,11,
449,4,8,2,4,3,2125,394,"[2120,390,2129,399]",800.35,-867.39,,,,,0.0272578,22.409,938,0.0795857,799.704,71,750.251,1.09578,3,13,
450,4,8,4,4,1,723,254,"[715,250,728,259]",592.85,-846.79,,,,,0.0374509986253,45.092185008,1413,0.098781723496,1158.93939394,95,1113.41683103,1.08138438848,2,5,
451,4,8,7,4,1,705,868,"[700,858,712,875]",590.52,-937.35,,,,,0.0261245410037,50.5925925926,2320,0.103185924869,1886.0,135,2362.71794872,0.819646117152,3,3,
452,4,8,10,4,1,799,253,"[794,248,804,260]",604.31,-846.62,,,,,0.0261187409063,23.7419354839,989,0.0553509345634,885.258064516,85,848.690308609,1.0710620715,2,1,
453,4,8,12,4,1,1088,1377,"[1083,1372,1092,1383]",647.03,-1012.84,,,,,0.137929559376,318.887078439,3047,0.209110439102,1993.06896552,91,1515.22593708,1.52581604325,3,7,
454,4,8,20,4,1,1591,1702,"[1589,1698,1595,1712]",721.56,-1061.16,,,,,0.0304545,45.099,1687,0.0804522,1435.77,67,1454.49,1.01813,1,2,
455,4,8,20,4,2,1646,1718,"[1641,1714,1653,1725]",729.7,-1063.34,,,,,0.0256757,28.2432,1233,0.0699611,1071.76,90,1454.49,0.756277,1,3,
456,4,8,21,4,1,1598,1696,"[1595,1691,1602,1703]",722.4,-1059.99,,,,,0.0299657496909,43.0672364672,1632,0.0785988789073,1394.14814815,65,1377.02823465,1.04370799992,1,3,
457,4,8,24,4,1,1662,1714,"[1659,1712,1664,1718]",731.89,-1062.64,,,,,0.0289864702545,30.0052910053,1112,0.0504723346829,1005.14285714,27,1320.90612245,0.78366519055,1,2,
458,4,8,52,4,1,1369,1207,"[1365,1205,1374,1211]",688.62,-987.7,,,,,0.0291314,42.9038,1724,0.0932622,1429.86,43,1196.65,1.23074,11,2,
459,4,8,52,4,2,1359,1237,"[1354,1232,1364,1244]",687.19,-992.13,,,,,0.121176,200.785,2114,0.184252,1456.19,109,1196.65,1.38468,11,4,
460,4,8,52,4,3,1409,1281,"[1404,1277,1413,1287]",694.46,-998.64,,,,,0.079446,138.78,1978,0.103157,1608.07,81,1196.65,1.45979,11,5,
461,4,8,53,4,1,1374,1210,"[1371,1208,1380,1214]",689.52,-988.15,,,,,0.0411147,65.7978,1893,0.104579,1534.55,46,1190.57,1.34419,11,3,
462,4,8,53,4,2,1379,1216,"[1372,1213,1382,1221]",689.88,-989.08,,,,,0.0439626,72.0161,1889,0.0934538,1566.11,73,1190.57,1.37592,11,4,
463,4,8,60,4,1,11,515,"[7,507,16,520]",487.95,-885.16,,,,,0.0290809,14.003,535,0.0673165,467.514,87,415.595,1.15862,1,1,
464,4,8,60,4,2,492,945,"[488,942,497,951]",559.16,-948.97,,,,,0.0267174,11.9591,504,0.0727355,435.654,62,589.899,0.758796,4,4,
465,4,8,2,5,1,1634,680,"[1629,675,1641,686]",-240.67,-909.65,,,,,0.0578585,36.9682,771,0.12311,601.973,102,505.409,1.26421,1,2,
466,4,8,2,5,2,1639,700,"[1635,697,1643,705]",-240.24,-912.79,,,,,0.0267401,13.2219,545,0.0621317,481.238,50,505.409,0.978337,1,4,
467,4,8,2,5,3,1646,708,"[1643,705,1653,713]",-238.9,-913.9,,,,,0.0308331,15.6338,569,0.073166,491.414,63,505.409,1.00324,1,5,
468,4,8,26,5,1,441,53,"[437,50,449,58]",-417.08,-817.07,,,,,0.0271804412152,15.0547667343,626,0.0748371817644,538.827586207,68,527.888489209,1.049241202,1,2,
469,4,8,35,5,1,1054,5,"[1050,0,1058,9]",-326.62,-809.76,,,,,0.0334727089264,28.5247252747,928,0.0595700766309,823.653846154,56,818.621221468,1.04099252387,1,1,
470,4,8,37,5,1,1040,28,"[1036,24,1044,31]",-328.71,-813.17,,,,,0.0273106728543,25.490530303,998,0.0472942354933,907.863636364,48,858.6581041969998,1.08699162345,1,3,
471,4,8,52,5,1,1946,1669,"[1945,1668,1947,1672]",-194.81,-1055.99,,,,,0.037447320891,22.2142857143,862,0.203070481507,571.0,14,588.908560311,1.00731136494,2,1,
472,4,8,53,5,1,1041,37,"[1038,35,1045,40]",-328.58,-814.67,,,,,0.0310046240255,23.2118055556,847,0.0773035613341,725.444444444,32,772.271641791,0.969420874064,1,1,
473,4,8,54,5,1,1077,14,"[1072,10,1082,20]",-323.31,-811.28,,,,,0.0315262927531,21.0083333333,746,0.0723269686879,645.366666667,64,755.028770155,0.882582262214,1,1,
474,4,8,59,5,1,1546,853,"[1544,850,1552,862]",-253.74,-935.71,,,,,0.0295635,22.3128,892,0.0982323,732.429,58,612.446,1.23234,5,5,
475,4,8,59,5,2,1563,912,"[1556,908,1567,920]",-251.59,-944.25,,,,,0.0617927,54.4955,1033,0.110507,827.412,97,612.446,1.43997,5,6,
476,4,8,60,5,1,1539,847,"[1535,845,1541,850]",-255.15,-934.44,,,,,0.0256469,20.0961,852,0.054801,763.471,30,610.933,1.28257,4,4,
477,4,8,60,5,2,1546,903,"[1542,900,1551,909]",-253.78,-942.85,,,,,0.0396093,33.5981,1030,0.116749,814.64,63,610.933,1.38843,4,5,
478,4,8,51,9,1,45,7,"[41,3,49,14]",492.95,-1456.25,,,,,0.0271198648162,13.5972222222,565,0.0733509234828,487.777777778,64,614.077205882,0.816468996402,1,1,
479,4,8,57,9,1,149,2,"[147,0,154,6]",508.4,-1455.37,,,,,0.0324102,26.299,927,0.0828536,785.143,43,647.247,1.25368,1,1,
480,4,8,57,9,2,151,9,"[147,5,155,14]",508.57,-1456.33,,,,,0.0390596,30.1684,920,0.106967,742.2,57,647.247,1.19331,1,2,
