Distance_(inches),Gray_Value
0.0000000,3.000
0.0016667,3.000
0.0033333,4.750
0.0050000,6.250
0.0066667,8.000
0.0083333,10.250
0.0100000,11.500
0.0116667,13.250
0.0133333,15.500
0.0150000,20.250
0.0166667,34.000
0.0183333,60.750
0.0200000,103.000
0.0216667,160.500
0.0233333,216.000
0.0250000,247.250
0.0266667,255.000
0.0283333,255.000
0.0300000,255.000
0.0316667,255.000
0.0333333,247.750
0.0350000,220.000
0.0366667,173.500
0.0383333,123.000
0.0400000,77.500
0.0416667,43.250
0.0433333,22.750
0.0450000,12.500
0.0466667,7.750
0.0483333,4.500
0.0500000,2.750
0.0516667,2.000
0.0533333,1.000
0.0550000,0.750
0.0566667,0.500
